user_id,Recency,Frequency,Monetary,R_Quartile,F_Quartile,M_Quartile,RFMScore,customers_segment
110,54,1,0.1559611952,1,1,2,112,Recent Customers
4148,16,1,0.1560391873,3,1,2,312,Loyal Customers
27610,71,1,0.1559256003,1,1,2,112,Recent Customers
50037,47,1,0.1557028102,1,1,2,112,Recent Customers
62283,1,9,1.401196132,4,4,4,444,Lost Cheap Customers
68718,6,16,2.492019539,4,4,4,444,Lost Cheap Customers
68793,1,5,0.7791414293,4,4,4,444,Lost Cheap Customers
68803,51,1,0.1557764771,1,1,2,112,Recent Customers
71122,52,1,0.1556976759,1,1,2,112,Recent Customers
73403,46,2,0.3112611997,2,3,3,233,Others
78926,68,1,0.1556876273,1,1,2,112,Recent Customers
79990,13,5,0.7797609522,3,4,4,344,Loyal Customers
94468,0,17,2.656024209,4,4,4,444,Lost Cheap Customers
99391,6,1,0.1557145959,4,1,2,412,Loyal Customers
115563,9,14,2.185329993,3,4,4,344,Loyal Customers
143168,6,1,0.1557041224,4,1,2,412,Loyal Customers
173492,26,4,0.6287289686,2,4,4,244,Loyal Customers
177591,16,7,1.09132248,3,4,4,344,Loyal Customers
180103,7,3,0.4691992387,4,3,4,434,Loyal Customers
212428,1,2,0.3115949252,4,3,3,433,Loyal Customers
214080,27,1,0.1556185124,2,1,1,211,Loyal Customers
236582,27,2,0.3138998276,2,3,3,233,Others
243768,64,1,0.1557064155,1,1,2,112,Recent Customers
254176,5,7,1.090382073,4,4,4,444,Lost Cheap Customers
267916,33,1,0.1556599584,2,1,2,212,Loyal Customers
282657,43,1,0.1557645254,2,1,2,212,Loyal Customers
310865,32,2,0.3118838203,2,3,3,233,Others
311713,89,1,0.1562413673,1,1,2,112,Recent Customers
314442,27,1,0.1557428222,2,1,2,212,Loyal Customers
327310,6,3,0.4673446028,4,3,3,433,Loyal Customers
343170,54,1,0.1556185124,1,1,1,111,Best Customers
343522,18,1,0.1556185124,3,1,1,311,Almost Lost
352310,56,4,0.6290143619,1,4,4,144,Recent Customers
353685,56,1,0.1558561817,1,1,2,112,Recent Customers
356435,65,1,0.1560008769,1,1,2,112,Recent Customers
382467,8,4,0.6229125791,3,4,4,344,Loyal Customers
394042,49,1,0.1556625914,1,1,2,112,Recent Customers
395167,5,3,0.4681199657,4,3,3,433,Loyal Customers
395860,5,3,0.4675219158,4,3,3,433,Loyal Customers
400587,21,1,0.1556191785,3,1,2,312,Loyal Customers
403387,67,1,0.1557810742,1,1,2,112,Recent Customers
414591,2,1,0.1559761326,4,1,2,412,Loyal Customers
420923,31,1,0.1556496839,2,1,2,212,Loyal Customers
421501,35,1,0.1556187771,2,1,2,212,Loyal Customers
422758,7,2,0.3116128452,4,3,3,433,Loyal Customers
433460,52,1,0.1556185124,1,1,1,111,Best Customers
439571,12,4,0.6229345475,3,4,4,344,Loyal Customers
